시도명,시도 방문자 비율,시군구명,시군구 방문자 비율
강원특별자치도,2.11,양양군,0.07
강원특별자치도,2.11,고성군,0.05
강원특별자치도,2.11,인제군,0.04
강원특별자치도,2.11,양구군,0.01
강원특별자치도,2.11,화천군,0.02
강원특별자치도,2.11,철원군,0.03
강원특별자치도,2.11,정선군,0.04
강원특별자치도,2.11,평창군,0.16
강원특별자치도,2.11,영월군,0.02
강원특별자치도,2.11,횡성군,0.09
강원특별자치도,2.11,홍천군,0.17
강원특별자치도,2.11,삼척시,0.07
강원특별자치도,2.11,속초시,0.15
강원특별자치도,2.11,태백시,0.01
강원특별자치도,2.11,동해시,0.07
강원특별자치도,2.11,강릉시,0.13
강원특별자치도,2.11,원주시,0.13
강원특별자치도,2.11,춘천시,0.5
경기도,14.92,양평군,0.11
경기도,14.92,가평군,0.46
경기도,14.92,연천군,0.03
경기도,14.92,여주시,0.14
경기도,14.92,포천시,0.19
경기도,14.92,양주시,0.17
경기도,14.92,광주시,0.23
경기도,14.92,화성시,0.95
경기도,14.92,김포시,0.73
경기도,14.92,안성시,0.25
경기도,14.92,이천시,0.21
경기도,14.92,파주시,0.5
경기도,14.92,용인시 수지구,0.17
경기도,14.92,용인시 기흥구,0.3
경기도,14.92,용인시 처인구,0.41
경기도,14.92,하남시,0.14
경기도,14.92,의왕시,0.1
경기도,14.92,군포시,0.12
경기도,14.92,시흥시,0.5
경기도,14.92,오산시,0.15
경기도,14.92,남양주시,0.31
경기도,14.92,구리시,0.08
경기도,14.92,과천시,0.07
경기도,14.92,고양시 일산서구,0.21
경기도,14.92,고양시 일산동구,0.26
경기도,14.92,고양시 덕양구,0.65
경기도,14.92,안산시 단원구,0.7
경기도,14.92,안산시 상록구,0.22
경기도,14.92,동두천시,0.11
경기도,14.92,평택시,1.26
경기도,14.92,광명시,0.18
경기도,14.92,부천시 오정구,0.09
경기도,14.92,부천시 소사구,0.15
경기도,14.92,부천시 원미구,0.25
경기도,14.92,안양시 동안구,0.12
경기도,14.92,안양시 만안구,0.13
경기도,14.92,의정부시,0.13
경기도,14.92,성남시 분당구,0.37
경기도,14.92,성남시 중원구,0.11
경기도,14.92,성남시 수정구,0.21
경기도,14.92,수원시 영통구,0.3
경기도,14.92,수원시 팔달구,0.42
경기도,14.92,수원시 권선구,0.21
경기도,14.92,수원시 장안구,0.2
경상남도,5.29,합천군,0.02
경상남도,5.29,거창군,0.02
경상남도,5.29,함양군,0.02
경상남도,5.29,산청군,0.03
경상남도,5.29,하동군,0.03
경상남도,5.29,남해군,0.17
경상남도,5.29,고성군,0.05
경상남도,5.29,창녕군,0.07
경상남도,5.29,함안군,0.07
경상남도,5.29,의령군,0.01
경상남도,5.29,양산시,0.19
경상남도,5.29,거제시,0.71
경상남도,5.29,밀양시,0.11
경상남도,5.29,김해시,0.4
경상남도,5.29,사천시,0.06
경상남도,5.29,통영시,0.68
경상남도,5.29,진주시,0.1
경상남도,5.29,창원시 진해구,0.56
경상남도,5.29,창원시 마산회원구,0.06
경상남도,5.29,창원시 마산합포구,0.43
경상남도,5.29,창원시 성산구,0.47
경상남도,5.29,창원시 의창구,0.09
경상북도,3.1,울릉군,0.18
경상북도,3.1,울진군,0.1
경상북도,3.1,봉화군,0.03
경상북도,3.1,예천군,0.02
경상북도,3.1,칠곡군,0.11
경상북도,3.1,성주군,0.06
경상북도,3.1,고령군,0.04
경상북도,3.1,청도군,0.04
경상북도,3.1,영덕군,0.11
경상북도,3.1,영양군,0.02
경상북도,3.1,청송군,0.02
경상북도,3.1,의성군,0.03
경상북도,3.1,경산시,0.24
경상북도,3.1,문경시,0.05
경상북도,3.1,상주시,0.08
경상북도,3.1,영천시,0.07
경상북도,3.1,영주시,0.04
경상북도,3.1,구미시,0.18
경상북도,3.1,안동시,0.09
경상북도,3.1,김천시,0.08
경상북도,3.1,경주시,0.52
경상북도,3.1,포항시 북구,0.14
경상북도,3.1,포항시 남구,0.3
광주광역시,0.65,광산구,0.19
광주광역시,0.65,북구,0.1
광주광역시,0.65,남구,0.04
광주광역시,0.65,서구,0.16
광주광역시,0.65,동구,0.05
대구광역시,1.3,군위군,0.03
대구광역시,1.3,달성군,0.14
대구광역시,1.3,달서구,0.2
대구광역시,1.3,수성구,0.14
대구광역시,1.3,북구,0.16
대구광역시,1.3,남구,0.06
대구광역시,1.3,서구,0.06
대구광역시,1.3,동구,0.29
대구광역시,1.3,중구,0.18
대전광역시,0.71,대덕구,0.08
대전광역시,0.71,유성구,0.21
대전광역시,0.71,서구,0.14
대전광역시,0.71,중구,0.07
대전광역시,0.71,동구,0.13
부산광역시,7.86,기장군,0.59
부산광역시,7.86,사상구,0.23
부산광역시,7.86,수영구,0.49
부산광역시,7.86,연제구,0.15
부산광역시,7.86,강서구,1.85
부산광역시,7.86,금정구,0.17
부산광역시,7.86,사하구,0.59
부산광역시,7.86,해운대구,1.39
부산광역시,7.86,북구,0.08
부산광역시,7.86,남구,0.69
부산광역시,7.86,동래구,0.09
부산광역시,7.86,부산진구,0.99
부산광역시,7.86,영도구,0.85
부산광역시,7.86,동구,0.86
부산광역시,7.86,서구,0.7
부산광역시,7.86,중구,1.06
서울특별시,28.07,강동구,0.22
서울특별시,28.07,송파구,1.17
서울특별시,28.07,강남구,3.31
서울특별시,28.07,서초구,1.51
서울특별시,28.07,관악구,0.36
서울특별시,28.07,동작구,0.45
서울특별시,28.07,영등포구,1.67
서울특별시,28.07,금천구,0.29
서울특별시,28.07,구로구,0.59
서울특별시,28.07,강서구,1.56
서울특별시,28.07,양천구,0.21
서울특별시,28.07,마포구,3.93
서울특별시,28.07,서대문구,1.4
서울특별시,28.07,은평구,0.29
서울특별시,28.07,노원구,0.17
서울특별시,28.07,도봉구,0.08
서울특별시,28.07,강북구,0.14
서울특별시,28.07,성북구,0.41
서울특별시,28.07,중랑구,0.14
서울특별시,28.07,동대문구,0.6
서울특별시,28.07,광진구,0.56
서울특별시,28.07,성동구,1.27
서울특별시,28.07,용산구,2.99
서울특별시,28.07,중구,8.79
서울특별시,28.07,종로구,4.36
세종특별자치시,0.25,세종특별자치시,0.25
울산광역시,2.23,울주군,0.38
울산광역시,2.23,북구,0.73
울산광역시,2.23,동구,0.46
울산광역시,2.23,남구,0.49
울산광역시,2.23,중구,0.05
인천광역시,14.76,옹진군,1.04
인천광역시,14.76,강화군,0.1
인천광역시,14.76,서구,0.48
인천광역시,14.76,계양구,0.22
인천광역시,14.76,부평구,0.35
인천광역시,14.76,남동구,0.36
인천광역시,14.76,연수구,0.76
인천광역시,14.76,미추홀구,0.24
인천광역시,14.76,동구,0.06
인천광역시,14.76,중구,7.61
전라남도,4.77,신안군,1.01
전라남도,4.77,진도군,0.32
전라남도,4.77,완도군,0.41
전라남도,4.77,장성군,0.03
전라남도,4.77,영광군,0.06
전라남도,4.77,함평군,0.02
전라남도,4.77,무안군,0.06
전라남도,4.77,영암군,0.14
전라남도,4.77,해남군,0.13
전라남도,4.77,강진군,0.02
전라남도,4.77,장흥군,0.02
전라남도,4.77,화순군,0.02
전라남도,4.77,보성군,0.03
전라남도,4.77,고흥군,0.07
전라남도,4.77,구례군,0.01
전라남도,4.77,곡성군,0.01
전라남도,4.77,담양군,0.03
전라남도,4.77,광양시,0.51
전라남도,4.77,나주시,0.06
전라남도,4.77,순천시,0.08
전라남도,4.77,여수시,0.88
전라남도,4.77,목포시,0.21
전북특별자치도,1.59,부안군,0.12
전북특별자치도,1.59,고창군,0.04
전북특별자치도,1.59,순창군,0.01
전북특별자치도,1.59,임실군,0.01
전북특별자치도,1.59,장수군,0.01
전북특별자치도,1.59,무주군,0.02
전북특별자치도,1.59,진안군,0.02
전북특별자치도,1.59,완주군,0.09
전북특별자치도,1.59,김제시,0.05
전북특별자치도,1.59,남원시,0.03
전북특별자치도,1.59,정읍시,0.05
전북특별자치도,1.59,익산시,0.11
전북특별자치도,1.59,군산시,0.45
전북특별자치도,1.59,전주시 덕진구,0.13
전북특별자치도,1.59,전주시 완산구,0.15
전북특별자치도,1.59,전주시,0.19
제주특별자치도,7.9,서귀포시,2.58
제주특별자치도,7.9,제주시,3.94
충청남도,2.69,태안군,0.23
충청남도,2.69,예산군,0.05
충청남도,2.69,홍성군,0.06
충청남도,2.69,청양군,0.02
충청남도,2.69,서천군,0.05
충청남도,2.69,부여군,0.04
충청남도,2.69,금산군,0.04
충청남도,2.69,당진시,0.27
충청남도,2.69,계룡시,0.01
충청남도,2.69,논산시,0.09
충청남도,2.69,서산시,0.16
충청남도,2.69,아산시,0.42
충청남도,2.69,보령시,0.1
충청남도,2.69,공주시,0.1
충청남도,2.69,천안시 서북구,0.27
충청남도,2.69,천안시 동남구,0.21
충청북도,1.8,단양군,0.03
충청북도,1.8,음성군,0.21
충청북도,1.8,괴산군,0.07
충청북도,1.8,진천군,0.15
충청북도,1.8,증평군,0.02
충청북도,1.8,영동군,0.03
충청북도,1.8,옥천군,0.05
충청북도,1.8,보은군,0.02
충청북도,1.8,제천시,0.05
충청북도,1.8,충주시,0.14
충청북도,1.8,청주시 청원구,0.25
충청북도,1.8,청주시 흥덕구,0.21
충청북도,1.8,청주시 서원구,0.1
충청북도,1.8,청주시 상당구,0.07
