순위,관광지ID,관광지명,분류
1,e5712730c371e5fddd7474df6752b347,롯데백화점본점,백화점
2,b708a7a4028a4d59ccc5e7acdde06637,신세계백화점본점,백화점
3,d4edfdccdab18d787235c82f7e430fdc,신라호텔서울,호텔
4,9fb8dce4c46fe540ea859737971abc3f,신세계백화점본점신관,백화점
5,6d51b962202065af6259c46a63e64352,현대시티아울렛동대문점,쇼핑몰
6,b96ced03a6a40f970cb3a428e81ea19b,롯데호텔서울점,호텔
7,75206b4569178df73981d1fef6d87d2e,웨스틴조선호텔,호텔
8,b1589bb9e3fb4ec234c3dc56fbd5563a,더플라자호텔,호텔
9,4ad99170855561c905cd752d5890235a,국립극장,공연시설
10,d9de2f557c12dc5c7c864760e200b5e9,두산타워,쇼핑몰
11,b6e1a8223148d8c6dc0712a4de32e29d,반얀트리클럽앤스파서울,호텔
12,6621aa050c3669cd812109b92af2ec74,앰배서더서울풀만호텔,호텔
13,d1cb8a363709fec027313e3d55f16e39,밀리오레동대문점,쇼핑몰
14,8b750c0dbf493b5bcb1d02c318646fbb,남대문시장,시장
15,105b68b0f0c82e088ba4e6c892c32c17,방산종합시장,시장
16,acb5329d44aa939655c89c85fe40ceb9,충무아트센터,공연시설
17,681fb8f32e3ec2559f2367fb1ab9d7b3,제일평화시장,시장
18,775c61c26ccfd36838db01794d0cf643,코리아나호텔서울,호텔
19,2a9b21af2009d7009ff75194ab3e6ee7,노보텔앰배서더호텔서울동대문,호텔
20,932713ceeaaa32f8416d0a69ca38fe75,남산케이블카,기타관광
21,d1f5e08eee1128fca2778eb12625f0a2,롯데백화점에비뉴엘본점,백화점
22,264e64c62489fa01b31c520b75eb608e,신라면세점서울점,면세점
23,3c40a6b3151dd4cb6bcad9c204407afd,디오트쇼핑몰,쇼핑몰
24,454a708c3e97b3c70cee9e6ac74c070e,롯데시티호텔명동,호텔
25,f5fa944b0ac123ee26e06ba71073c078,호텔PJ,호텔
26,20c9c1c52d38f4c88b8eaed8896fb2dc,르메르디앙서울명동점,호텔
27,c5e94d4439641971ec7b53c10a6fb54c,서울로얄호텔,호텔
28,19fb30179dbc546c08d1172b2e6ecd07,롯데영플라자명동점,백화점
29,b22f53c22db34ba88ea020bf5384b338,코트야드바이메리어트서울남대문,호텔
30,9bc3f57aa7375fac875095884aa73884,서울시립미술관,전시시설
31,6ddfb0de819db4e645e32edf3def60a2,세종호텔,호텔
32,6cf08fdb7756192bc4a0caf4568e5aac,프레지던트호텔,호텔
33,8de118a4b6f26f59fe7f8a9c5e2c275e,이비스앰배서더호텔명동,호텔
34,d68f0ee1dd2726a73fda30dfd302dc2d,SFC몰,쇼핑몰
35,212a5ee7d81f683592e25fbbb60ca0c2,눈스퀘어,쇼핑몰
36,5195670748216dd85fe16c4b278c2db4,롯데면세점명동본점,면세점
37,6d580d274e33ea8c4dd3b62443b05416,DDP패션몰,쇼핑몰
38,d0b946238a0a28efaa61e0cbfae39125,누죤,쇼핑몰
39,67cf64cd75fc91194b37c6ca6f6cf02e,레스케이프호텔,호텔
40,9e90b5e2f493eafa640c4a339fa42330,솔라고호텔,호텔
41,59bdd273d65069c6567831558427234c,포포인츠바이쉐라톤조선서울명동,호텔
42,2e948a5de984e719a3af85dd56e40939,중부시장,시장
43,b20ec3227487235bbe4117ced1337719,손기정체육공원,도시공원
44,8919d6c92c3f2757e209d800b48c13e8,나인트리바이파르나스서울명동2,호텔
45,7d6ee6c7d086c52e3dc04e6c3c98dd46,덕수궁,역사유적지
46,8c70d8d20528568be11bcac548f02c55,밀리오레호텔서울명동,호텔
47,c50046e349888c25f4066f647f440bbb,서울중앙시장,시장
48,cddb9b6702162c9d4070db388e357ac3,동대문역사문화공원,도시공원
49,1f42d1fe1580daeeca68c3bd7e6fdca2,명보아트홀,공연시설
50,3704a8877737ebaeaaf0f52564616925,서소문성지역사박물관,전시시설
51,83365e8ccf1470893dd52675958e2b23,소테츠호텔즈더스프라지르서울명동,호텔
52,19586e5e3cb518cc5f473650b7489a69,호텔스카이파크킹스타운동대문점,호텔
53,8d15365c0eaa676b38527d6769f77750,에이피엠플레이스,쇼핑몰
54,e1ad524516953b7010addb6f37be593e,밀리오레명동점,쇼핑몰
55,9165634044d9651625cd2b664a049ac0,호텔스카이파크센트럴명동점,호텔
56,8baf3a74f2ae5c8d592cd9d9000fa931,대한극장,공연시설
57,aaa59c17ceedc2a48bc54d6df0eb5684,청평화시장,시장
58,9e31aae766907b59097cf51c35f9543f,롯데호텔L7명동,호텔
59,8014db1231ac50c2658eda76dbdfa0db,묵정어린이공원,도시공원
60,ec60a9ad10af3a227cb25f83f5f55cca,신세계면세점명동점,면세점
61,a93a3a318ae7c5142f5dd6cf967829f0,프레이저플레이스센트럴서울,호텔
62,f46dcf6e14af81803afacfe80606390d,퍼시픽호텔,호텔
63,8b55c46ff3f55ccbf772cca41b00ae40,Hello APM,쇼핑몰
64,e1f98312a8ed54ecb7fb1afb60959347,황학동주방거리,기타쇼핑시설
65,2028961ff0d275be46a2bb57b2180837,프레이저플레이스남대문서울,호텔
66,6383cf02cac739716f0aa988f02365ac,호텔스카이파크동대문1호점,호텔
67,06f81215aa7fdb6e30da21f32aa7028f,호텔국도,호텔
68,9072475dc476da0fa2c14d1f4fa521fc,안중근의사기념관,전시시설
69,22dc7326437242fc032e1681057a6642,알로프트호텔서울명동,호텔
70,7d02352cd17a3b9cf0e76863350bb400,호텔그레이스리서울,호텔
71,036fd80402c541a6e4e3541439de2ab8,신평화패션타운,시장
72,1b7431f28af37f6deed83d07841a8aa9,라마다호텔앤스위트서울남대문,호텔
73,91810255373217724ab6fd51c6534495,조선일보미술관,전시시설
74,b9c9b1d4867675457df93eb7b3e1580e,스탠포드호텔명동,호텔
75,f28c880c9ee700679d2c6481db3b87ff,라마다서울동대문,호텔
76,b9c5328de112bdd510c2904ce4843a13,숭례문,역사유적지
77,b47cf475acb39dfc3aeb48e871ec06ca,평화시장,시장
78,6a4395991416c562294476e770d56f87,호텔유파이브,호텔
79,15efadad7f9b4d5481f9fb67d0728625,보코서울명동,호텔
80,10bd22f54fe04693b01955a51b02a6d6,맥스타일,쇼핑몰
81,868b54a0ecff1510baf8f974668d2e40,남산골한옥마을,역사유적지
82,1b6ba485ab6acdd7a9e6eb444a222243,ENA스위트호텔,호텔
83,98e37094d05668cd313c5a64e4a31c30,나인트리바이파르나스서울동대문,호텔
84,ee0b41ed73a545d1aeb984e1ba1c13c2,CGV동대문,공연시설
85,ac69d9480f64f00b969eda661ef4d8c4,서울유스호스텔,호스텔
86,e4d84fc91018ce54e3294272228a76f5,크라운파크호텔,호텔
87,b03fd5be6d7ab5e2e4b059d328f4c9ec,뉴서울호텔,호텔
88,224a3804cdf859de22b26c8c2c12141b,써미트호텔,호텔
89,7ad0068e79450bcfe39be3af3f0d99cd,메가박스동대문,공연시설
90,2c8d4320a04635b27a3925729e524381,현대면세점동대문점,면세점
91,1cbc07c7cecb0e4cc3c18e9c0367c095,트레블로지동대문호텔,호텔
92,3b4780080c9d7b67b703357ee3e47a50,만리재길,자연경관(산)
93,0fd17931deee2b8bd6962b290ec2b5f8,삼익패션타운,쇼핑몰
94,a207c77307ceb6043def9626555c899f,트레블로지명동을지로호텔,호텔
95,96a3e5f95efb2bdcb1353b380759c08c,서소문역사공원,도시공원
96,e42f0b354c379b16017831de6ea6a075,G3호텔,호텔
97,80faf829219f2e544860970b32281c3d,동화상가,시장
98,87d0473d57cadb89cdb8b106a3ddfedf,하이커그라운드,전시시설
99,e5973c362618362e5d2be49aad5f7a39,이비스스타일앰배서더명동,호텔
100,8ca21fce26649102b0ee22eae88c8b02,솔라리아니시테츠호텔서울명동,호텔
