순위,관광지ID,업소명,분류
1,66fd47176e2a7cd05721e35919cf2557,신당동떡볶이타운,음식점기타
2,570bbf09ec6117258c1ecf4805361572,우래옥본점,한식
3,a7ffa4b5abdaa88997b4e44e5e6f1905,마복림떡볶이,간이음식
4,779e42d5ac3aeedb269f664bbc9c9f18,아이러브신당동,간이음식
5,8de6e5b5838ea70bc46a18dea5499bec,필동면옥,한식
6,a7818ca59283de7031fdc833f5cf90b3,우정,간이음식
7,47e04689b6ed42008bc05a0500c5bbc9,101번지남산돈까스본점,전문음식
8,e827b3fafa55bef691d75fd236559fff,오장동함흥냉면,한식
9,e854caa9a908ff0be9dba06345c1fb87,명동교자본점,한식
10,733ea9de1405e05f7a680c3a48fd44c1,원조남산돈까스,전문음식
11,0f82d647b9bebee7021e23e992ab0868,평양면옥장충본점,한식
12,52e29d290c688d2abdf7827bfc849720,진주회관,한식
13,874ef6e20a4ddb80851f7defc1040e44,오장동흥남집본점,한식
14,a8531e95cebc9158bd3ac723a8ed2eb8,원조남산왕돈까스,전문음식
15,b94ac81d09e490a7b2a4a3edf96bb570,태극당장충본점,간이음식
16,1e9db364660f35299c8b581189e82846,컨퍼런스하우스달개비[한식],한식
17,dd0ed67fa62e147aae4af9e39b5cb4b1,금돼지식당,한식
18,f0e90d9ebbe5cdddb39aa485ba996337,VIPS제일제당센터점,전문음식
19,ecc56d674525ea8852da59e9689e06e2,무교동북어국집,한식
20,bcdd8cd54c7962050fde83e7c0b98b25,아리아웨스틴조선서울,전문음식
21,505a13edd514fd9cffab9fbaf8e4f083,원할머니보쌈족발본점,전문음식
22,c0313bd54bf16677db379e361eb74ac5,한국의집[한식],한식
23,62b4eb165811ce4dc02352b168acc71a,더파크뷰서울신라호텔,전문음식
24,ed792b80663b1a9211e87d7cc60f70d7,파티앤프렌즈,전문음식
25,f52552e9745eafcb778280114634a5f2,라세느롯데호텔서울,전문음식
26,2f5f3a6cef668e3df9674265c5268e55,산청숯불가든을지로점,한식
27,c41d727817d1b4a647dc76d24819d3e3,상구네식당,전문음식
28,ad6f84e50582997c4da75325506de694,약수순대국,한식
29,9aa745f0f30ac5875b7a9a338de0f0b4,어반가든,전문음식
30,2429915df59084dd6e53c4e0eef22815,마복림할머니막내아들네,간이음식
31,3124144b98cccf114f444813801ddef1,버거킹약수역점,간이음식
32,aa55d489d963352a296836387a9cfd7e,올디스타코,외국식
33,573adb5fa0ca6c36fdc22416d8221c51,남산산채집,한식
34,43ad448330c42271da75a8ec071c7dba,만포막국수,한식
35,106aba9777015541a12703972545231a,깃대봉냉면,한식
36,4d81305df4da908774f403c031faa795,하이디라오명동점,외국식
37,b93c3b411935828118c804f0f5e7c866,서령,한식
38,aa044ece066833c95cabfd8343d5854e,양미옥남대문점,전문음식
39,27298a3f6ad1334a5521046ba95ddec4,몽중헌페럼타워점 [중식],외국식
40,b8426e0e4c0090deb41891d0b4a4299f,뚱뚱이할머니족발집,전문음식
41,40300f3e299173fa0ebc9eb9447026bb,광화문국밥본점,한식
42,af52ec969ef487386676435633ccffae,땡초곱창,전문음식
43,eb649cec5508bed10486c0794182cb01,맥도날드서울시청점,간이음식
44,dd9e29506ae483bda94d511a08087c1f,콘드에뻬뻬,전문음식
45,2b6804baad0d54ad029a767e1663bfdc,아티제대신파이낸스센터점,카페/찻집
46,bebbb51cc3b13a940fd373197fc22aee,평안도족발집,전문음식
47,df4761dc00fe4890088eeca3d0750c10,한암동정동점,한식
48,20025a5478f60711d0bd0a0eb4499dc4,청와옥을지로3가직영점,한식
49,282dfee25bbee8b0e19cd505cf58da45,하동관명동본점,한식
50,208970b07f1a89ba67bed5ba5c683d86,고우가광화문점,한식
51,93de17fb9048138bd27de5cf181f0d19,오발탄충무로점,전문음식
52,cdeb11f648cc469e2da78801802e598d,커피루소정동점,카페/찻집
53,373a7c954519b87ac886cc32d13fbfe8,진고개,한식
54,9fbb1cec6e7b7a0b78f5817f88986e45,소담촌약수점,전문음식
55,8e0478a7de591bfee1dc2af54f817835,남포면옥,한식
56,8b8ea999443b8e561ebb6fe06219d5fe,크리스탈제이드소공점,외국식
57,864918be8ae512956077e0d20d8c8dba,하니칼국수,한식
58,b6a3e6e3c108e924c34251820a7bc88e,콘피에르,전문음식
59,5bfb366a252b5e3ef2d37b83480f6487,만족오향족발시청점,전문음식
60,ba2b7404018cb74dc60c34a7e2835529,트웰브남산점,간이음식
61,3941a5ee3f683b6629b9e308d3d58571,평강삼계탕장충점,한식
62,986c29770095d5ecffc5af01f107be8a,원조1호장충동할머니집,전문음식
63,0cf64556911f9c75464c987838150349,페스타바이민구,전문음식
64,50ee4a713165fbe1e0bc5d01339c70b7,영미네곱창,전문음식
65,726baba35cb53ecfdd6cbac2417e20b1,스타벅스장충라운지R점,카페/찻집
66,d6ec62b7eb5a51153a51c2223a0148b1,애슐리퀸즈던던동대문점,전문음식
67,27032f65e5dc3adc314d55bef80a2000,아웃백스테이크하우스동대문점,전문음식
68,bcdde38d2ed2400842662db97b192834,더킹스앰배서더서울풀만호텔,전문음식
69,fe2979d569ebe16d4ccc36fd898635fa,은주정,한식
70,b3e6aa4f53afba44c117e36f23a162d5,뚜레쥬르제일제당센터점,간이음식
71,898c33c9e8fd02e492bef4af2a98093b,투썸플레이스중구YTN점,카페/찻집
72,b69e9919640adc08057eedd0dc90aed8,장충동족발골목,음식점기타
73,886344104878663370ea99b68c847a00,고려삼계탕,한식
74,a73f1edd499de32c69fe5a1a2a8afb6d,디라이프스타일키친광화문점,전문음식
75,2c8cf1e885ffc4918069b17e5b7f41f3,해담채시청점 [한식],한식
76,43f06fae0b9da466d792c4e9dd760f8e,목멱산방남산타워점,한식
77,c8ff007ac31524bce4b45c457eaf2bce,오제제광화문점 [일식],외국식
78,66c8dbe9554ead149f1a8e75c8fffc02,쉐이크쉑두타점,간이음식
79,6983451bdae954c8c5e19713a805be55,팔레드신,외국식
80,db1c176b4ee3263d9b96fa62ee0ba9ad,카페와일드덕,카페/찻집
81,fd34cd9af4de6d2dae0e947f7bf88178,목멱산방,한식
82,830a042f566a41072ea7f5db00b8ee87,부민옥,한식
83,8418f1a0d66f317f7d9f7728a4275f3e,유즈라멘,외국식
84,b8cd7b2749f698d8d806892ce7d42cbd,호박식당본점,한식
85,39f27e4db22380ccb06bb5a3b613849b,이남장을지로본점,한식
86,6d7ac0409e12dc34b7a4b5e4f67817e6,안동장[중식],외국식
87,1136df0b709a1e8b8a0301fe37bd5514,안경할머니곱창,전문음식
88,f4b0771c86053fc2e77454ce79da620d,평래옥,한식
89,59fbcd91a69cafa3b0afd3b0da70aa53,버거킹신당역점,간이음식
90,687062882b50e6e0a9dea44a99ab2041,남산돈가스거리,음식점기타
91,89be88021cbf7e2c93eb38ea2341b4b4,조선옥,한식
92,3f38500554765f6be7829ca61b3f4a50,조조칼국수시청점,한식
93,0a2c6ee6c9203455a986116693c2765b,동해도광화문점 [일식],외국식
93,2a75081ba1b9c42e4967121010c42a0e,대화정진짜해장국,한식
95,51e66b877f992d7747f1628d157dbae4,농민백암순대시청직영점,한식
96,a9b14351b1855cb792590ad213c1fd68,창고43무교점,전문음식
97,81f73cbd2d93eab2f452a5c309b6b34f,만복림남대문점 [중식],외국식
98,d00d4f14f0a4727995431a8c191e9ecb,애성회관,한식
99,af2124baef55caeee325c904cd3252aa,진미떡볶이,간이음식
100,8b8c9fdfc4e9f323ee026a618dcbce5d,스타벅스청계크리스탈스퀘어점,카페/찻집
